id,pm25,pm10,o3,no2,so2,co,t,p,h,w,time,dew,wg,aqi
1334,72,-1,4,1,4,0,25,1005,94,2,1714762800,24,-1,72
1350,124,-1,-1,-1,-1,-1,30,1001,79,6,1714820400,26,-1,124
1366,112,-1,-1,-1,-1,-1,27,1010,69,4,1714878000,21,-1,112
1271,117,-1,4,1,5,0,27,1007,88,2,1714006800,25,16,117
1287,127,-1,4,1,4,0,28,1002,94,4,1714068000,27,16,127
1303,155,-1,4,1,4,0,35,997,63,5,1714125600,27,16,155
1319,158,-1,4,1,4,0,31,1002,79,3,1714183200,27,16,158
1335,55,-1,4,1,4,0,25,1005,94,2,1714766400,24,-1,55
1351,107,-1,-1,-1,-1,-1,29,1002,79,6,1714824000,25,-1,107
1367,99,-1,-1,-1,-1,-1,27,1010,69,4,1714881600,21,-1,99
1272,152,-1,4,1,4,0,28,1007,83,1,1714010400,25,16,152
1288,137,-1,4,1,4,0,28,1002,94,3,1714071600,27,16,137
1304,155,-1,4,1,4,0,34,998,68,5,1714129200,27,16,155
1320,87,-1,4,1,4,0,26,1009,88,3,1714708800,24,-1,87
1336,57,-1,4,1,4,0,25,1005,94,3,1714770000,24,-1,57
1352,104,-1,-1,-1,-1,-1,28,1003,83,5,1714827600,25,-1,104
1256,162,-1,4,1,4,0,26,1004,88,2,1713952800,24,16,162
